game_id,player_id,team_id,opponent_team_id,minutes,off_poss,def_poss,drives,drive_fgm,drive_fga,drive_ftm,drive_fta,drive_points,drive_passes,drive_assists,drive_turnovers,drive_fouls,passes_made,passes_received,assists,ft_assists,secondary_assists,potential_assists,adj_assists,assist_pts,steals,blocks,def_rim_fgm,def_rim_fga,touches,front_court_touches,time_of_poss,seconds_per_touch,dribbles_per_touch,elbow_touches,elbow_touch_fgm,elbow_touch_fga,elbow_touch_ftm,elbow_touch_fta,elbow_touch_points,elbow_touch_passes,elbow_touch_assists,elbow_touch_turnovers,elbow_touch_fouls,paint_touches,paint_touch_fgm,paint_touch_fga,paint_touch_ftm,paint_touch_fta,paint_touch_points,paint_touch_passes,paint_touch_assists,paint_touch_turnovers,paint_touch_fouls,post_touches,post_touch_fgm,post_touch_fga,post_touch_ftm,post_touch_fta,post_touch_points,post_touch_passes,post_touch_assists,post_touch_turnovers,post_touch_fouls,oreb,oreb_contest,oreb_uncontest,oreb_chances,oreb_chance_defer,dreb,dreb_contest,dreb_uncontest,dreb_chances,dreb_chance_defer,feet,miles,miles_off,miles_def,avg_speed,avg_speed_off,avg_speed_def
0022300229,1628997,1610612748,1610612739,26.4,53,52,7,0,4,0,0,0,3,0,0,0,33,30,1,0,1,2,2,3,3,0,0,0,48,16,3.7,4.68,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,3,7,1,10662,2.02,1.19,0.83,4.56,5.12,3.91
0022300230,203471,1610612761,1610612754,31.53,72,72,20,6,9,2,2,16,8,2,2,1,63,72,5,0,4,7,9,12,1,0,1,1,85,27,7.2,5.11,4.69,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,5,7,0,12973,2.46,1.33,1.13,4.45,4.7,3.85
0022300231,1631246,1610612763,1610612745,4.25,10,10,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,2,1,3,0,0,0,1,7,5,0.2,2.14,1.14,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1838,0.35,0.19,0.16,3.9,5.22,5.17
0022300232,1628964,1610612755,1610612750,5.58,12,12,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,6,4,0.2,1.54,0.67,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,1,0,1,1,0,2169,0.41,0.23,0.18,4.15,4.11,4.2
0022300233,1627734,1610612758,1610612740,35.55,71,72,7,2,3,2,2,6,3,0,0,1,69,62,6,1,0,12,7,20,0,1,7,10,88,60,3.7,2.52,1.63,7,1,2,1,2,3,3,1,1,1,8,2,3,4,6,8,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,7,0,7,14,0,13892,2.63,1.45,1.18,4.11,4.41,3.8
0022300235,201935,1610612746,1610612759,35.78,77,75,12,0,2,2,4,2,7,2,1,2,49,57,9,0,0,14,9,20,1,1,3,4,68,21,6.2,5.5,4.9,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,7,10,1,12691,2.4,1.25,1.15,3.74,4.12,3.68
0022300238,1626156,1610612747,1610612742,24.42,50,47,13,2,6,2,2,7,4,0,1,1,34,36,5,0,3,8,8,12,0,1,0,0,50,27,2.9,3.46,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,6,0,9496,1.8,0.92,0.88,4.11,4.29,3.95
0022300239,202722,1610612760,1610612755,9.83,23,22,0,0,0,0,0,0,0,0,0,0,3,6,1,0,0,1,1,3,0,0,0,0,7,6,0.1,0.75,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4399,0.83,0.48,0.36,4.29,5.65,4.08
0022300239,1641717,1610612760,1610612755,13.62,25,27,3,0,1,0,0,0,2,0,0,0,17,15,1,0,1,3,2,3,0,0,1,1,19,13,0.9,2.77,2.05,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,1,5373,1.02,0.49,0.53,4.2,4.24,4.16
0022300241,1629631,1610612737,1610612764,31.08,68,68,3,0,1,0,0,0,2,0,0,0,27,24,0,1,0,2,2,3,2,0,1,1,41,21,1.2,1.72,0.98,2,1,1,0,0,2,1,0,0,0,4,2,3,0,0,5,1,0,0,0,1,1,1,0,0,3,0,0,0,0,1,0,1,2,0,3,1,2,4,0,12543,2.38,1.28,1.1,4.4,5.0,3.86
